date,symbol,side,entry,stop,target,exit,box_hi,box_lo,rr_planned,outcome,R
2026-01-07,LINKUSDT,long,13.39,13.363315,13.6,13.363315,13.6,13.42,7.86958965711055,loss,-1.602136031478347
2026-01-07,APTUSDT,long,1.881,1.8720635,1.92,1.8720635,1.92,1.884,4.364124657304353,loss,-1.2525821070889078
2026-01-12,BTCUSDT,short,91491.4,91605.21972,90209.57,91605.21972,91026.35,90209.57,11.261932466535612,loss,-1.9645927788260282
2026-01-12,NEARUSDT,short,1.713,1.7218605,1.656,1.7218605,1.685,1.656,6.433045539190854,loss,-1.2319959370238716
2026-01-20,ETHUSDT,long,3047.49,3039.03972,3088.08,3039.03972,3088.08,3048.82,4.803391130235002,loss,-1.4327653048183242
2026-01-26,LINKUSDT,short,12.06,12.116055,11.82,11.82,12.03,11.82,4.281509232004373,win,4.0233342253145095
2026-02-01,BNBUSDT,short,762.84,765.692655,746.0,746.0,757.44,746.0,5.903272565382264,win,5.58237571665712
2026-02-06,XRPUSDT,short,1.472,1.48844385,1.4134,1.48844385,1.458,1.4134,3.563642334368183,loss,-1.1074200993076444
2026-03-02,BTCUSDT,short,69283.6,69652.54887,65582.55,69652.54887,66674.86,65582.55,10.0313357783155,loss,-1.2253437447850204
2026-03-02,ETHUSDT,short,2030.62,2040.5497649999998,1925.95,2040.5497649999998,1967.25,1925.95,10.541034959034912,loss,-1.2453979525195245
2026-03-02,NEARUSDT,short,1.307,1.3136564999999998,1.234,1.3136564999999998,1.278,1.234,10.966724254488346,loss,-1.2356193194621852
2026-03-04,SOLUSDT,short,91.96,92.42618999999999,89.67,92.42618999999999,91.76,89.67,4.912160277998251,loss,-1.236710354147452
2026-03-28,DOGEUSDT,short,0.09305,0.09338667,0.09136,0.09338667,0.09289,0.09136,5.019752279680224,loss,-1.3316600825734288
2026-04-08,BTCUSDT,long,70912.88,70671.876385,72604.19,71631.01,72604.19,71660.66,7.017778550748861,timeout,2.6266599527976675
2026-04-08,NEARUSDT,long,1.36,1.3513240000000002,1.392,1.3513240000000002,1.392,1.369,3.688335638543125,loss,-1.1881051175657005
2026-04-17,BTCUSDT,short,77709.59,77974.84794,76130.42,77974.84794,76928.88,76130.42,5.953337344020452,loss,-1.3515502985508985
2026-04-17,XRPUSDT,short,1.4885,1.4956474499999999,1.4647,1.4956474499999999,1.4871,1.4647,3.329858900726865,loss,-1.2499073095999291
2026-04-29,DOGEUSDT,long,0.1051,0.10443775500000001,0.10676,0.10443775500000001,0.10676,0.10546,2.5066251915831983,loss,-1.1904431139532976
2026-05-06,NEARUSDT,long,1.45,1.4402795000000002,1.472,1.472,1.472,1.452,2.263258062856898,win,2.0842549251582163
2026-05-15,BTCUSDT,long,79071.97,78659.340655,80015.48,78659.340655,80015.48,79100.0,2.286579981363198,loss,-1.2299554434258704
2026-05-15,SOLUSDT,long,89.13,88.685635,90.49,89.29,90.49,89.15,3.060547072789325,timeout,0.11937033744784564
2026-05-15,XRPUSDT,long,1.4341,1.4294849,1.4557,1.4348,1.4557,1.4383,4.680288617798241,timeout,-0.2212129748000874
2026-05-15,DOGEUSDT,long,0.11203,0.11087453500000001,0.11394,0.11087453500000001,0.11394,0.11207,1.653014154474609,loss,-1.1163479638067797
2026-05-15,AVAXUSDT,long,9.49,9.45527,9.7,9.45527,9.7,9.54,6.046645551396512,loss,-1.327900950187161
2026-05-15,BCHUSDT,long,425.4,424.1878,430.6,425.1,430.6,425.5,4.2897211681241245,timeout,-0.6686025408348105
2026-05-15,APTUSDT,long,0.985,0.9725135,1.01,0.9725135,1.01,0.987,2.002162335322157,loss,-1.0946622352140314
2026-05-25,TRXUSDT,short,0.3726,0.37328654999999994,0.3689,0.37328654999999994,0.3706,0.3689,5.389265166412114,loss,-1.6512562814070804
2026-05-25,NEARUSDT,short,2.625,2.643321,2.51,2.643321,2.587,2.51,6.276949948147012,loss,-1.1719338464057656
2026-05-26,NEARUSDT,short,2.857,2.905452,2.746,2.746,2.838,2.746,2.2909271031123764,win,2.2201684141005704
2026-06-04,BTCUSDT,short,64365.73,64527.16746,63194.22,63194.22,64244.0,63194.22,7.256742022576715,win,6.778297453391825
2026-06-05,XRPUSDT,long,1.1092,1.10574685,1.1379,1.10574685,1.1379,1.1181,8.311252045234275,loss,-1.3854567568741691
